ur1919094	tas1x01	9
ur70232234	tas1x01	4
ur0278527	tas1x01	6
ur2467618	tas1x01	3
ur20395088	tas1x02	10
ur3274830	tas1x02	7
ur0278527	tas1x02	9
ur70232234	tas1x02	8
ur5946448	tas1x02	7
ur2467618	tas1x02	7
ur2467618	tas1x03	5
ur70232234	tas1x03	4
ur9938570	tas1x03	8
ur0278527	tas1x03	6
ur2467618	tas1x04	5
ur0278527	tas1x04	5
ur5946448	tas1x05	6
ur19278556	tas1x05	7
ur2467618	tas1x05	5
ur0278527	tas1x05	5
ur2063901	tas1x06	9
ur2467618	tas1x06	4
ur0278527	tas1x06	4
ur3412920	tas1x07	2
ur0278527	tas1x07	2
ur2467618	tas1x07	1
ur59327551	tas1x08	10
ur3274830	tas1x08	7
ur5946448	tas1x08	6
ur2467618	tas1x08	2
ur0278527	tas1x08	4
ur2467618	tas1x09	4
ur0278527	tas1x09	5
ur9938570	tas1x10	7
ur2467618	tas1x10	6
ur0278527	tas1x10	4
ur0278527	tas1x11	5
ur2467618	tas1x11	5
ur0278527	tas1x12	6
ur2467618	tas1x12	4
ur1919094	tas1x13	6
ur0278527	tas1x13	5
ur2467618	tas1x13	5
ur1919094	tas1x14	9
ur0278527	tas1x14	5
ur2467618	tas1x14	2
ur0278527	tas1x15	6
ur2467618	tas1x15	7
ur2467618	tas1x16	4
ur0278527	tas1x16	4
ur15863785	tas1x16	10
ur1919094	tas2x01	7
ur2467618	tas2x01	6
ur0278527	tas2x01	6
ur9938570	tas2x02	7
ur2467618	tas2x02	4
ur0278527	tas2x02	3
ur16595919	tas2x03	7
ur9938570	tas2x03	7
ur2467618	tas2x03	5
ur0278527	tas2x03	5
ur0278527	tas2x04	6
ur2467618	tas2x04	7
ur1919094	tas2x05	6
ur17868603	tas2x05	7
ur2467618	tas2x05	2
ur0278527	tas2x05	5
ur5946448	tas2x06	6
ur0278527	tas2x06	7
ur2467618	tas2x06	6
ur5807286	tng1x01	7
ur4409266	tng1x01	5
ur2183600	tng1x01	7
ur3270789	tng1x01	7
ur0278527	tng1x01	8
ur2366174	tng1x01	10
ur2183600	tng1x01	7
ur4512442	tng1x01	6
ur15079528	tng1x01	6
ur10762610	tng1x01	9
ur2467618	tng1x01	6
ur1994077	tng1x01	6
ur9938570	tng1x01	7
ur2183600	tng1x01	7
ur48260462	tng1x01	6
ur2483625	tng1x01	8
ur1622306	tng1x01	7
ur0607642	tng1x01	10
ur0298160	tng1x01	2
ur15079528	tng1x03	6
ur5807286	tng1x03	4
ur30164740	tng1x03	2
ur10762610	tng1x03	10
ur2366174	tng1x03	10
ur1994077	tng1x03	4
ur20248185	tng1x03	4
ur93652034	tng1x03	7
ur48260462	tng1x03	5
ur68219224	tng1x03	3
ur0278527	tng1x03	6
ur59364634	tng1x03	3
ur2467618	tng1x03	3
ur20248185	tng1x04	3
ur15079528	tng1x04	5
ur2937440	tng1x04	7
ur8481327	tng1x04	1
ur0278527	tng1x04	4
ur68219224	tng1x04	2
ur10762610	tng1x04	9
ur1994077	tng1x04	3
ur2467618	tng1x04	6
ur2366174	tng1x05	10
ur10762610	tng1x05	7
ur20248185	tng1x05	5
ur0278527	tng1x05	8
ur15079528	tng1x05	6
ur2467618	tng1x05	8
ur68219224	tng1x05	6
